0.02	2
1.07	3
2.18	4
3.3	1
4.38	2
5.48	3
6.54	4
7.57	1
8.69	2
9.71	3
10.79	4
11.89	1
12.97	2
14.05	3
15.19	4
16.23	1
17.37	2
18.43	3
19.5	4
20.58	1
21.73	2
22.76	3
23.85	4
24.97	1
26.08	2
27.15	3
28.26	4
29.32	1
30.35	2
31.45	3
32.49	4
33.58	1
34.69	2
35.8	3
36.89	4
37.95	1
38.97	2
40.04	3
41.04	4
42.09	1
43.02	2
43.99	3
44.94	4
46.03	1
47.14	2
48.23	3
49.25	4
50.29	1
51.38	2
52.48	3
53.59	4
54.57	1
55.49	2
56.36	3
57.22	4
58.05	1
58.8	2
59.66	3
60.48	4
61.36	1
62.18	2
63.01	3
63.85	4
64.7	1
65.52	2
66.37	3
67.23	4
68.05	1
68.85	2
69.69	3
70.52	4
71.33	1
72.16	2
73.04	3
73.84	4
74.66	1
75.5	2
76.25	3
77.02	4
77.8	1
78.56	2
79.46	3
80.3	4
81.08	1
81.9	2
82.69	3
83.47	4
84.26	1
85.0	2
85.8	3
86.61	4
87.43	1
88.24	2
89.09	3
89.97	4
90.87	1
91.76	2
92.66	3
93.59	4
94.58	1
95.52	2
96.44	3
97.36	4
98.32	1
99.25	2
100.12	3
101.07	4
101.96	1
102.88	2
103.82	3
104.79	4
105.7	1
106.67	2
107.75	3
108.85	4
109.95	1
111.06	2
112.14	3
113.23	4
114.23	1
115.3	2
116.33	3
117.41	4
118.45	1
119.4	2
120.35	3
121.31	4
122.26	1
123.2	2
124.17	3
125.11	4
126.07	1
127.03	2
128.02	3
129.03	4
130.07	1
131.06	2
132.16	3
133.13	4
134.08	1
135.03	2
135.97	3
136.93	4
137.89	1
138.86	2
139.68	3
140.5	4
141.32	1
142.15	2
142.97	3
143.8	4
144.69	1
145.49	2
146.37	3
147.18	4
148.08	1
148.97	2
149.89	3
150.73	4
151.58	1
152.48	2
153.29	3
154.1	4
154.97	1
155.76	2
156.61	3
157.49	4
158.27	1
159.14	2
159.95	3
160.81	4
161.62	1
162.45	2
163.3	3
164.16	4
165.1	1
165.95	2
166.88	3
167.76	4
168.71	1
169.68	2
170.62	3
171.52	4
172.46	1
173.39	2
174.39	3
175.31	4
176.32	1
177.23	2
178.2	3
179.17	4
180.11	1
181.11	2
182.06	3
183.0	4
183.97	1
184.93	2
185.88	3
186.83	4
187.79	1
188.78	2
189.73	3
190.67	4
191.63	1
192.59	2
193.6	3
194.56	4
195.48	1
196.48	2
197.41	3
198.36	4
199.33	1
200.31	2
201.23	3
